id,наименование_задачи,тип_задачи,технологический_стек,срок_выполнения_дней,цена_руб,ценовой_диапазон
1,Синхронизация CRM и 1С,Автоматизация и скрипты,Zapier+Python,14,7000,5 000–15 000 ₽
2,Приложение учёта финансов,Мобильное приложение,Flutter,31,33200,30 000–60 000 ₽
3,Приложение трекинга тренировок,Мобильное приложение,React Native+Redux,10,70000,60 000–120 000 ₽
4,Вёрстка личного кабинета,Вёрстка,HTML+CSS+BEM,12,3500,до 5 000 ₽
5,Каталог с корзиной на Flutter,Мобильное приложение,React Native+TS,40,69000,60 000–120 000 ₽
6,Pixel-perfect вёрстка карточки товара,Вёрстка,HTML+Tailwind,10,3000,до 5 000 ₽
7,Приложение трекинга тренировок,Мобильное приложение,Swift (iOS),36,86400,60 000–120 000 ₽
8,Вёрстка страницы оформления заказа,Вёрстка,Next.js+SCSS,8,11000,5 000–15 000 ₽
9,Лендинг для детского лагеря,Лендинг,Vue.js,14,12600,5 000–15 000 ₽
10,Парсер новостей,Парсинг данных,Python+requests,6,4000,до 5 000 ₽
11,Мультивендорный магазин,Интернет-магазин,1C-Bitrix,28,16200,15 000–30 000 ₽
12,Редизайн личного кабинета,UI/UX Дизайн,Figma+Principle,6,8800,5 000–15 000 ₽
13,Telegram-бот для уведомлений,Автоматизация и скрипты,Python+aiogram,7,9000,5 000–15 000 ₽
14,Лендинг для службы доставки,Лендинг,Vue.js,14,12000,5 000–15 000 ₽
15,Вёрстка административной панели,Вёрстка,Next.js+SCSS,13,6000,5 000–15 000 ₽
16,Форма с валидацией,UI-компонент,Angular,3,8000,5 000–15 000 ₽
17,Оптимизация запроса аналитики,Оптимизация SQL,ClickHouse,6,11400,5 000–15 000 ₽
18,Ювелирный интернет-магазин,Интернет-магазин,Shopify,9,43000,30 000–60 000 ₽
19,Webhook-интеграция с Telegram,Написание API,Node.js+Express,13,15000,15 000–30 000 ₽
20,Дизайн дашборда аналитики,UI/UX Дизайн,Figma,10,24000,15 000–30 000 ₽
21,Рекомендательная система,ML-модель,TensorFlow,16,22000,15 000–30 000 ₽
22,Многопользовательский чат,Fullstack-разработка,Vue.js+Django+PostgreSQL,48,41000,30 000–60 000 ₽
23,Классификация обращений,ML-модель,TensorFlow,8,26000,15 000–30 000 ₽
24,Мультивендорный магазин,Интернет-магазин,React+Node.js,8,76000,60 000–120 000 ₽
25,Оптимизация агрегатов ClickHouse,Оптимизация SQL,PostgreSQL,6,9000,5 000–15 000 ₽
26,Маркетплейс для мастеров,Интернет-магазин,Laravel+Vue,8,60000,60 000–120 000 ₽
